step,train_loss,val_loss,val_ppl,time_ms,mfu
0,9.72,9.75,17179.47,54534.2,-100.0
1,9.68,,,1981.6,-100.0
2,8.7,,,1612.8,-100.0
3,13.64,,,1486.7,-100.0
4,8.9,,,2077.7,-100.0
5,8.44,,,1612.3,10.4
6,8.26,,,1570.1,10.5
7,8.24,,,2074.0,10.2
8,8.03,,,1608.0,10.3
9,7.92,,,1563.0,10.3
10,12.73,,,1543.9,10.4
11,7.59,,,1656.6,10.3
12,7.48,,,1656.1,10.3
13,7.42,,,1844.7,10.2
14,7.84,,,1905.2,10.1
15,7.47,,,1593.5,10.1
16,7.38,,,1564.7,10.2
17,7.68,,,1574.1,10.2
18,7.64,,,1799.2,10.1
19,7.49,,,2112.4,9.9
20,7.47,,,1506.4,10.1
21,7.26,,,1571.0,10.1
22,7.47,,,1704.2,10.1
23,7.54,,,1448.3,10.2
24,7.52,,,1586.3,10.3
25,7.33,,,1334.3,10.5
26,7.35,,,1761.2,10.4
27,7.31,,,1718.7,10.4
28,7.48,,,1786.5,10.3
29,7.22,,,1583.9,10.3
30,7.38,,,1814.4,10.2
31,7.21,,,1573.8,10.2
32,7.31,,,2078.8,10.0
33,7.22,,,1527.6,10.1
34,7.31,,,1857.0,10.0
35,7.22,,,1576.8,10.1
36,7.19,,,1912.7,10.0
37,7.23,,,1802.1,9.9
38,7.15,,,1498.6,10.0
39,7.17,,,2744.2,9.6
40,7.1,,,1605.4,9.7
41,7.43,,,1663.9,9.8
42,7.17,,,1689.5,9.8
43,7.0,,,1397.9,10.0
44,7.08,,,1829.4,9.9
45,7.02,,,1914.3,9.8
46,7.0,,,1802.8,9.8
47,7.0,,,1801.5,9.7
48,7.03,,,1783.5,9.7
49,6.98,,,1655.8,9.7
50,7.03,,,1770.3,9.7
51,7.17,,,1683.6,9.7
52,6.96,,,1674.4,9.8
53,6.76,,,1724.4,9.8
54,6.84,,,1852.2,9.7
55,6.79,,,1785.8,9.7
56,6.82,,,1905.4,9.6
57,6.92,,,2335.9,9.4
58,6.91,,,1538.5,9.5
59,6.82,,,1739.5,9.5
60,6.96,,,1598.6,9.6
61,6.68,,,1733.0,9.6
62,7.04,,,1581.9,9.7
63,6.73,,,1507.8,9.9
64,6.9,,,2340.6,9.6
65,6.72,,,1523.6,9.8
66,6.61,,,1504.2,9.9
67,6.75,,,1529.8,10.0
68,6.77,,,1716.2,10.0
69,6.79,,,1415.9,10.2
70,7.03,,,1651.1,10.2
71,6.8,,,2442.8,9.9
72,6.91,,,1484.0,10.0
73,6.6,,,2892.9,9.6
74,6.62,,,1546.4,9.7
75,6.67,,,1751.9,9.7
76,7.05,,,1713.4,9.7
77,6.82,,,1514.4,9.9
78,6.78,,,2252.3,9.6
79,6.73,,,1352.6,9.9
80,6.88,,,1654.8,9.9
81,6.76,,,1646.0,10.0
82,6.63,,,1949.4,9.8
83,6.61,,,1470.9,10.0
84,6.86,,,1847.8,9.9
85,6.7,,,3180.5,9.4
86,6.6,,,3021.6,9.1
87,6.48,,,3242.1,8.7
88,6.64,,,3293.8,8.3
89,6.54,,,3120.5,8.0
90,6.7,,,2826.3,7.8
91,6.54,,,3144.2,7.6
92,6.71,,,2050.0,7.6
93,6.8,,,2135.0,7.7
94,6.52,,,1658.4,7.9
95,6.93,,,1608.1,8.2
96,6.64,,,1492.5,8.5
97,6.49,,,1476.7,8.8
98,6.51,,,1793.8,8.8
99,6.63,,,1478.1,9.1
100,6.53,,,2069.5,9.0
101,6.49,,,1524.9,9.2
102,6.75,,,1632.4,9.3
103,6.56,,,1772.2,9.3
104,6.69,,,1456.8,9.5
105,6.72,,,2761.1,9.2
106,6.53,,,1540.5,9.4
107,6.65,,,1934.5,9.3
108,6.74,,,1888.0,9.3
109,6.41,,,2073.3,9.2
110,6.46,,,1745.3,9.2
111,6.68,,,1989.5,9.1
112,6.64,,,1812.6,9.1
