step,train_loss,val_loss,val_ppl,time_ms,mfu
0,9.2,9.25,10432.73,60829.7,-100.0
1,9.33,,,2148.3,-100.0
2,8.72,,,1778.2,-100.0
3,8.37,,,1933.8,-100.0
4,8.01,,,1709.4,-100.0
5,8.04,,,1920.2,8.8
6,7.67,,,1797.7,8.8
7,7.76,,,3616.0,8.4
8,7.62,,,1773.7,8.5
9,7.33,,,1920.8,8.5
10,7.53,,,1863.5,8.6
11,7.51,,,1848.6,8.6
12,7.31,,,1709.4,8.8
13,7.58,,,2138.6,8.7
14,7.45,,,1806.5,8.7
15,7.58,,,1731.2,8.8
16,7.36,,,1801.2,8.9
17,7.19,,,1749.4,9.0
18,7.47,,,1780.0,9.0
19,7.11,,,1792.8,9.0
20,7.2,,,1932.8,9.0
21,7.0,,,2234.7,8.9
22,7.05,,,1832.8,8.9
23,6.98,,,1780.9,9.0
24,7.07,,,2677.2,8.7
25,7.04,,,1787.7,8.8
26,7.07,,,1777.0,8.8
27,6.83,,,1762.5,8.9
28,6.87,,,1903.3,8.9
29,7.02,,,2022.2,8.8
30,7.48,,,1830.9,8.9
31,7.25,,,1772.9,8.9
32,6.85,,,1807.7,9.0
33,7.2,,,2346.6,8.8
34,6.85,,,2134.9,8.7
35,6.93,,,2624.5,8.5
36,6.75,,,1680.6,8.6
37,6.83,,,1853.3,8.7
38,6.89,,,2685.4,8.4
39,7.01,,,1776.1,8.5
40,6.8,,,1810.1,8.6
41,6.67,,,1947.6,8.6
42,6.59,,,1845.8,8.7
43,6.71,,,2100.6,8.6
44,6.68,,,1881.3,8.6
45,6.82,,,3104.7,8.3
46,7.06,,,2030.2,8.3
47,6.71,,,2943.2,8.1
48,6.84,,,2851.3,7.8
49,6.59,,,1632.1,8.1
50,6.85,,,2305.9,8.0
51,6.62,,,1779.6,8.2
52,6.66,,,1867.2,8.2
53,6.5,,,2123.1,8.2
54,6.69,,,1692.0,8.4
55,6.8,,,1951.9,8.4
56,6.61,,,2080.0,8.4
57,6.56,,,1812.9,8.5
58,6.69,,,2234.1,8.4
59,6.7,,,2088.3,8.3
60,6.61,,,2330.6,8.2
61,6.83,,,2088.0,8.2
62,6.83,,,2472.3,8.1
63,6.49,,,1928.1,8.1
64,6.71,,,1842.9,8.2
65,6.32,,,2537.2,8.1
66,6.63,,,1792.2,8.2
67,6.54,,,2123.5,8.2
68,6.27,,,1801.1,8.3
69,6.84,,,1902.2,8.4
70,6.43,,,2306.8,8.2
71,6.73,,,1786.0,8.4
72,6.57,,,2832.0,8.1
73,6.42,,,1734.9,8.3
74,6.31,,,1889.8,8.3
75,6.59,,,2410.7,8.2
76,6.36,,,1898.6,8.3
77,6.5,,,1911.7,8.3
78,6.3,,,1771.9,8.4
79,6.48,,,2058.7,8.4
80,6.52,,,5440.5,7.9
81,6.28,,,1985.3,7.9
82,6.51,,,2023.8,8.0
83,6.59,,,1873.2,8.1
84,6.23,,,2091.6,8.1
85,6.44,,,2275.7,8.0
86,6.43,,,1821.5,8.1
87,6.37,,,1840.0,8.2
88,6.04,,,1745.9,8.4
89,6.52,,,1779.9,8.5
90,6.44,,,2147.6,8.4
91,6.25,,,1898.0,8.5
92,6.46,,,1694.0,8.6
93,6.23,,,1857.0,8.7
94,6.56,,,2023.1,8.6
95,6.3,,,23932.3,7.8
96,6.5,,,2834.2,7.6
97,6.29,,,1795.6,7.8
98,6.3,,,1862.0,7.9
99,6.19,,,1798.2,8.1
100,6.41,,,2277.4,8.0
101,6.46,,,1768.7,8.2
102,6.39,,,1890.3,8.2
103,6.34,,,1843.1,8.3
104,6.29,,,1887.4,8.4
105,6.33,,,3153.5,8.1
106,6.21,,,1725.9,8.2
107,6.17,,,1732.3,8.4
108,6.16,,,1952.0,8.4
109,6.22,,,2001.8,8.4
110,6.41,,,2202.7,8.3
111,6.32,,,2650.8,8.1
112,6.44,,,1717.0,8.3
113,6.1,,,1910.3,8.4
114,6.24,,,1882.7,8.4
115,6.15,,,3126.1,8.1
116,6.54,,,1925.9,8.2
117,6.18,,,1737.9,8.3
118,6.28,,,1755.9,8.5
119,6.33,,,1967.7,8.5
120,6.09,,,1865.3,8.5
121,6.23,,,2013.5,8.5
122,6.13,,,1756.1,8.6
123,6.31,,,2211.7,8.5
124,6.12,,,3498.2,8.1
125,6.14,,,2071.6,8.1
126,6.28,,,2405.5,8.0
127,6.28,,,1947.6,8.1
128,6.06,,,1846.8,8.2
129,6.36,,,1719.1,8.3
130,6.04,,,1881.3,8.4
131,6.04,,,2003.9,8.4
132,5.99,,,2041.7,8.4
133,6.37,,,1755.4,8.5
134,6.03,,,1632.0,8.7
135,6.06,,,1922.9,8.7
136,5.89,,,1713.4,8.8
137,5.96,,,1747.4,8.9
138,5.96,,,1829.8,8.9
139,6.11,,,2918.3,8.6
140,5.81,,,1630.9,8.8
141,6.09,,,1763.5,8.9
142,6.3,,,1853.8,8.9
143,6.05,,,2715.2,8.6
144,6.14,,,1879.2,8.6
145,5.86,,,2692.1,8.4
146,6.2,,,1691.7,8.6
147,6.05,,,1857.8,8.6
148,5.98,,,1823.0,8.7
149,5.97,,,1816.2,8.7
150,5.94,,,1930.1,8.7
151,6.01,,,2803.3,8.5
152,5.96,,,1876.0,8.5
153,5.92,,,1872.6,8.6
